date,competition,opponent,home_away,goals_for,goals_against,points,season
2021-08-23T00:00:00+00:00,Serie A,Sampdoria,A,1,0,3,2021-22
2021-08-29T00:00:00+00:00,Serie A,Cagliari,H,4,1,3,2021-22
2021-09-12T00:00:00+00:00,Serie A,Lazio,H,2,0,3,2021-22
2021-09-19T00:00:00+00:00,Serie A,Juventus,A,1,1,1,2021-22
2021-09-22T00:00:00+00:00,Serie A,Venezia,H,2,0,3,2021-22
2021-09-25T00:00:00+00:00,Serie A,Spezia,A,2,1,3,2021-22
2021-10-03T00:00:00+00:00,Serie A,Atalanta,A,3,2,3,2021-22
2021-10-16T00:00:00+00:00,Serie A,Verona,H,3,2,3,2021-22
2021-10-23T00:00:00+00:00,Serie A,Bologna,A,4,2,3,2021-22
2021-10-26T00:00:00+00:00,Serie A,Torino,H,1,0,3,2021-22
2021-10-31T00:00:00+00:00,Serie A,Roma,A,2,1,3,2021-22
2021-11-07T00:00:00+00:00,Serie A,Inter,H,1,1,1,2021-22
2021-11-20T00:00:00+00:00,Serie A,Fiorentina,A,3,4,0,2021-22
2021-11-28T00:00:00+00:00,Serie A,Sassuolo,H,1,3,0,2021-22
2021-12-01T00:00:00+00:00,Serie A,Genoa,A,3,0,3,2021-22
2021-12-04T00:00:00+00:00,Serie A,Salernitana,H,2,0,3,2021-22
2021-12-11T00:00:00+00:00,Serie A,Udinese,A,1,1,1,2021-22
2021-12-19T00:00:00+00:00,Serie A,Napoli,H,0,1,0,2021-22
2021-12-22T00:00:00+00:00,Serie A,Empoli,A,4,2,3,2021-22
2022-01-06T00:00:00+00:00,Serie A,Roma,H,3,1,3,2021-22
2022-01-09T00:00:00+00:00,Serie A,Venezia,A,3,0,3,2021-22
2022-01-17T00:00:00+00:00,Serie A,Spezia,H,1,2,0,2021-22
2022-01-23T00:00:00+00:00,Serie A,Juventus,H,0,0,1,2021-22
2022-02-05T00:00:00+00:00,Serie A,Inter,A,2,1,3,2021-22
2022-02-13T00:00:00+00:00,Serie A,Sampdoria,H,1,0,3,2021-22
2022-02-19T00:00:00+00:00,Serie A,Salernitana,A,2,2,1,2021-22
2022-02-25T00:00:00+00:00,Serie A,Udinese,H,1,1,1,2021-22
2022-03-06T00:00:00+00:00,Serie A,Napoli,A,1,0,3,2021-22
2022-03-12T00:00:00+00:00,Serie A,Empoli,H,1,0,3,2021-22
2022-03-19T00:00:00+00:00,Serie A,Cagliari,A,1,0,3,2021-22
2022-04-04T00:00:00+00:00,Serie A,Bologna,H,0,0,1,2021-22
2022-04-10T00:00:00+00:00,Serie A,Torino,A,0,0,1,2021-22
2022-04-15T00:00:00+00:00,Serie A,Genoa,H,2,0,3,2021-22
2022-04-24T00:00:00+00:00,Serie A,Lazio,A,2,1,3,2021-22
2022-05-01T00:00:00+00:00,Serie A,Fiorentina,H,1,0,3,2021-22
2022-05-08T00:00:00+00:00,Serie A,Verona,A,3,1,3,2021-22
2022-05-15T00:00:00+00:00,Serie A,Atalanta,H,2,0,3,2021-22
2022-05-22T00:00:00+00:00,Serie A,Sassuolo,A,3,0,3,2021-22
2022-08-13T00:00:00+00:00,Serie A,Udinese,H,4,2,3,2022-23
2022-08-21T00:00:00+00:00,Serie A,Atalanta,A,1,1,1,2022-23
2022-08-27T00:00:00+00:00,Serie A,Bologna,H,2,0,3,2022-23
2022-08-30T00:00:00+00:00,Serie A,Sassuolo,A,0,0,1,2022-23
2022-09-03T00:00:00+00:00,Serie A,Inter,H,3,2,3,2022-23
2022-09-10T00:00:00+00:00,Serie A,Sampdoria,A,2,1,3,2022-23
2022-09-18T00:00:00+00:00,Serie A,Napoli,H,1,2,0,2022-23
2022-10-01T00:00:00+00:00,Serie A,Empoli,A,3,1,3,2022-23
2022-10-08T00:00:00+00:00,Serie A,Juventus,H,2,0,3,2022-23
2022-10-16T00:00:00+00:00,Serie A,Verona,A,2,1,3,2022-23
2022-10-22T00:00:00+00:00,Serie A,Monza,H,4,1,3,2022-23
2022-10-30T00:00:00+00:00,Serie A,Torino,A,1,2,0,2022-23
2022-11-05T00:00:00+00:00,Serie A,Spezia,H,2,1,3,2022-23
2022-11-08T00:00:00+00:00,Serie A,Cremonese,A,0,0,1,2022-23
2022-11-13T00:00:00+00:00,Serie A,Fiorentina,H,2,1,3,2022-23
2023-01-04T00:00:00+00:00,Serie A,Salernitana,A,2,1,3,2022-23
2023-01-08T00:00:00+00:00,Serie A,Roma,H,2,2,1,2022-23
2023-01-14T00:00:00+00:00,Serie A,Lecce,A,2,2,1,2022-23
2023-01-24T00:00:00+00:00,Serie A,Lazio,A,0,4,0,2022-23
2023-01-29T00:00:00+00:00,Serie A,Sassuolo,H,2,5,0,2022-23
2023-02-05T00:00:00+00:00,Serie A,Inter,A,0,1,0,2022-23
2023-02-10T00:00:00+00:00,Serie A,Torino,H,1,0,3,2022-23
