token,count_pos,count_neg,log_odds_pos_vs_neg,direction
beast,9,0,4.300406654392393,POS
tireless,8,0,4.189153073050717,POS
grateful,8,0,4.189153073050717,POS
ascribed,6,0,3.920833196335998,POS
distinguished,6,0,3.920833196335998,POS
wore,6,0,3.920833196335998,POS
humble,6,0,3.920833196335998,POS
skill,5,0,3.7537511677841593,POS
carragher,5,0,3.7537511677841593,POS
grazie,13,2,3.0424640178625078,POS
underrated,7,1,2.9653424941690236,POS
thank,51,11,2.8562976722891804,POS
contributions,6,1,2.8222137058587933,POS
recruiting,6,1,2.8222137058587933,POS
partner,6,1,2.8222137058587933,POS
enjoying,6,1,2.8222137058587933,POS
welcome,6,1,2.8222137058587933,POS
elegant,6,1,2.8222137058587933,POS
scores,6,1,2.8222137058587933,POS
wonders,9,2,2.690954338288236,POS
failed,0,65,-3.519949361452971,NEG
issue,0,62,-3.473044160319702,NEG
clown,0,53,-3.3174944145792225,NEG
kicked,0,44,-3.133237111153699,NEG
shitting,0,40,-3.039021080245279,NEG
idiot,0,37,-2.962038427767519,NEG
social,0,36,-2.9350025517028424,NEG
loss,0,36,-2.9350025517028424,NEG
excuse,0,33,-2.8492141192265006,NEG
nor,0,31,-2.7876418193405748,NEG
dumb,0,30,-2.75537375375694,NEG
barely,0,30,-2.75537375375694,NEG
fraud,0,29,-2.722030130175824,NEG
sucks,0,28,-2.6875367508430177,NEG
destroyed,0,28,-2.6875367508430177,NEG
suddenly,0,27,-2.651811465031189,NEG
blamed,0,27,-2.651811465031189,NEG
otherwise,0,26,-2.6147629901929754,NEG
stupid,1,76,-2.5766289908483175,NEG
discussion,0,25,-2.576289506259201,NEG
