week,points,goals_for,goals_against,n_matches,goal_diff
2021-08-17,3,1,0,1,1
2021-08-24,3,4,1,1,3
2021-09-07,3,2,0,1,2
2021-09-14,1,1,1,1,0
2021-09-21,6,4,1,2,3
2021-09-28,3,3,2,1,1
2021-10-12,3,3,2,1,1
2021-10-19,3,4,2,1,2
2021-10-26,6,3,1,2,2
2021-11-02,1,1,1,1,0
2021-11-16,0,3,4,1,-1
2021-11-23,0,1,3,1,-2
2021-11-30,6,5,0,2,5
2021-12-07,1,1,1,1,0
2021-12-14,0,0,1,1,-1
2021-12-21,3,4,2,1,2
2022-01-04,6,6,1,2,5
2022-01-11,0,1,2,1,-1
2022-01-18,1,0,0,1,0
2022-02-01,3,2,1,1,1
2022-02-08,3,1,0,1,1
2022-02-15,1,2,2,1,0
2022-02-22,1,1,1,1,0
2022-03-01,3,1,0,1,1
2022-03-08,3,1,0,1,1
2022-03-15,3,1,0,1,1
2022-03-29,1,0,0,1,0
2022-04-05,1,0,0,1,0
2022-04-12,3,2,0,1,2
2022-04-19,3,2,1,1,1
2022-04-26,3,1,0,1,1
2022-05-03,3,3,1,1,2
2022-05-10,3,2,0,1,2
2022-05-17,3,3,0,1,3
2022-08-09,3,4,2,1,2
2022-08-16,1,1,1,1,0
2022-08-23,3,2,0,1,2
2022-08-30,4,3,2,2,1
2022-09-06,3,2,1,1,1
2022-09-13,0,1,2,1,-1
2022-09-27,3,3,1,1,2
2022-10-04,3,2,0,1,2
2022-10-11,3,2,1,1,1
2022-10-18,3,4,1,1,3
2022-10-25,0,1,2,1,-1
2022-11-01,3,2,1,1,1
2022-11-08,4,2,1,2,1
2023-01-03,4,4,3,2,1
2023-01-10,1,2,2,1,0
2023-01-24,0,2,9,2,-7
2023-01-31,0,0,1,1,-1
2023-02-07,3,1,0,1,1
2023-02-14,3,1,0,1,1
2023-02-21,3,2,0,1,2
2023-02-28,0,1,2,1,-1
2023-03-07,1,1,1,1,0
2023-03-14,0,1,3,1,-2
2023-03-28,3,4,0,1,4
2023-04-04,1,0,0,1,0
2023-04-11,1,1,1,1,0
2023-04-18,3,2,0,1,2
2023-04-25,1,1,1,1,0
2023-05-02,4,3,1,2,2
2023-05-09,0,0,2,1,-2
2023-05-16,3,5,1,1,4
2023-05-23,3,1,0,1,1
2023-05-30,3,3,1,1,2
2023-08-15,3,2,0,1,2
2023-08-22,3,4,1,1,3
2023-08-29,3,2,1,1,1
2023-09-12,0,1,5,1,-4
2023-09-19,3,1,0,1,1
2023-09-26,6,5,1,2,4
2023-10-03,3,1,0,1,1
2023-10-17,0,0,1,1,-1
2023-10-24,1,2,2,1,0
2023-10-31,0,0,1,1,-1
2023-11-07,1,2,2,1,0
2023-11-21,3,1,0,1,1
2023-11-28,3,3,1,1,2
2023-12-05,0,2,3,1,-1
2023-12-12,3,3,0,1,3
2023-12-19,1,2,2,1,0
2023-12-26,3,1,0,1,1
2024-01-02,3,3,0,1,3
2024-01-09,3,3,1,1,2
2024-01-16,3,3,2,1,1
2024-01-23,1,2,2,1,0
2024-01-30,3,3,2,1,1
2024-02-06,3,1,0,1,1
2024-02-13,0,2,4,1,-2
2024-02-20,1,1,1,1,0
2024-02-27,3,1,0,1,1
2024-03-05,3,1,0,1,1
2024-03-12,3,3,1,1,2
2024-03-26,3,2,1,1,1
2024-04-02,3,3,0,1,3
2024-04-09,1,3,3,1,0
2024-04-16,0,1,2,1,-1
2024-04-23,1,0,0,1,0
2024-04-30,1,3,3,1,0
2024-05-07,3,5,1,1,4
2024-05-14,0,1,3,1,-2
2024-05-21,1,3,3,1,0
2024-08-13,1,2,2,1,0
2024-08-20,0,1,2,1,-1
2024-08-27,1,2,2,1,0
2024-09-10,3,4,0,1,4
2024-09-17,3,2,1,1,1
2024-09-24,3,3,0,1,3
2024-10-01,0,1,2,1,-1
2024-10-15,3,1,0,1,1
2024-10-29,3,1,2,2,-1
2024-11-05,1,3,3,1,0
2024-11-19,1,0,0,1,0
2024-11-26,3,3,0,1,3
2024-12-03,0,1,2,1,-1
2024-12-10,1,0,0,1,0
2024-12-17,3,1,0,1,1
2024-12-24,1,1,1,1,0
2025-01-07,1,1,1,1,0
2025-01-14,3,2,3,2,-1
2025-01-21,3,3,2,1,1
2025-01-28,1,1,1,1,0
2025-02-04,3,2,0,1,2
2025-02-11,3,1,0,1,1
2025-02-18,0,1,2,1,-1
2025-02-25,0,2,4,2,-2
2025-03-04,3,3,2,1,1
2025-03-11,3,2,1,1,1
2025-03-25,0,1,2,1,-1
2025-04-01,1,2,2,1,0
2025-04-08,3,4,0,1,4
2025-04-15,0,0,1,1,-1
2025-04-22,3,2,0,1,2
2025-04-29,3,2,1,1,1
2025-05-06,3,3,1,1,2
2025-05-13,0,1,3,1,-2
2025-05-20,3,2,0,1,2
2025-08-19,0,1,2,1,-1
2025-08-26,3,2,0,1,2
2025-09-09,3,1,0,1,1
2025-09-16,3,3,0,1,3
2025-09-23,3,2,1,1,1
2025-09-30,1,0,0,1,0
2025-10-14,3,2,1,1,1
2025-10-21,1,2,2,1,0
2025-10-28,4,2,1,2,1
2025-11-04,1,2,2,1,0
2025-11-18,3,1,0,1,1
2025-11-25,3,1,0,1,1
2025-12-02,3,3,2,1,1
2025-12-09,1,2,2,1,0
2025-12-23,3,3,0,1,3
2025-12-30,3,1,0,1,1
2026-01-06,2,2,2,2,0
2026-01-13,6,4,1,2,3
2026-01-20,1,1,1,1,0
2026-02-03,3,3,0,1,3
2026-02-10,3,2,1,1,1
2026-02-17,1,1,2,2,-1
2026-02-24,3,2,0,1,2
2026-03-03,3,1,0,1,1
2026-03-10,0,0,1,1,-1
2026-03-17,3,3,2,1,1
2026-03-31,0,0,1,1,-1
2026-04-07,0,0,3,1,-3
2026-04-14,3,1,0,1,1
2026-04-21,1,0,0,1,0
2026-04-28,0,0,2,1,-2
2026-05-05,0,2,3,1,-1
2026-05-12,3,2,1,1,1
2026-05-19,0,1,2,1,-1
