week,executive,mean_score,n
2021-08-24,ibrahimovic,0.007804949974848164,18
2021-08-24,maldini,-0.0553396160735987,43
2021-08-24,massara,-0.15171463152260653,7
2021-08-31,gazidis,-0.14024484034162016,10
2021-08-31,ibrahimovic,-0.10474007006851024,160
2021-08-31,maldini,-0.16316027001452607,185
2021-08-31,massara,-0.2624827466292859,27
2021-08-31,moncada,0.3092320654541254,6
2021-09-07,gazidis,0.051427006255835295,2
2021-09-07,ibrahimovic,0.04210918811549912,227
2021-09-07,maldini,-0.016023224151587852,53
2021-09-07,massara,0.30807301262393594,4
2021-09-07,moncada,0.5430064911488444,2
2021-09-14,gazidis,0.11809290976574023,3
2021-09-14,ibrahimovic,-0.09993144911463318,223
2021-09-14,maldini,0.027284441564207604,190
2021-09-14,massara,-0.09767660855626066,6
2021-09-14,moncada,-0.06385678052902222,1
2021-09-21,furlani,-0.033030061051249504,1
2021-09-21,gazidis,0.15673998665685454,3
2021-09-21,ibrahimovic,-0.04246458614414388,88
2021-09-21,maldini,0.11201474837854236,236
2021-09-21,massara,-0.06199071444571018,10
2021-09-21,moncada,0.5974226165562868,1
2021-09-28,gazidis,0.32513034405807656,3
2021-09-28,ibrahimovic,-0.05825969624732222,105
2021-09-28,maldini,-0.0951581607290651,104
2021-09-28,massara,-0.00030880275049379894,7
2021-09-28,moncada,-0.28961625741794705,2
2021-10-05,gazidis,0.07451060290137927,6
2021-10-05,ibrahimovic,-0.054546239832669256,92
2021-10-05,maldini,0.03185621693452028,87
2021-10-05,massara,0.10435205785324797,12
2021-10-05,moncada,0.2322474349057302,4
2021-10-12,gazidis,0.04118557623587549,3
2021-10-12,ibrahimovic,-0.04381288761206105,167
2021-10-12,maldini,-0.26712101601678395,174
2021-10-12,massara,-0.032017480302602055,5
2021-10-12,moncada,0.3346613162041952,3
2021-10-19,gazidis,-0.0557000283151865,1
2021-10-19,ibrahimovic,-0.2597517579606574,384
2021-10-19,maldini,-0.213234011899974,95
2021-10-19,massara,-0.2647202236888309,3
2021-10-26,gazidis,-0.016220260644331574,3
2021-10-26,ibrahimovic,-0.12179375533423663,313
2021-10-26,maldini,0.04640007399575552,32
2021-10-26,moncada,0.09015746678536136,3
2021-11-02,gazidis,-0.15796512396385273,3
2021-11-02,ibrahimovic,-0.17891980605264352,253
2021-11-02,maldini,-0.20833799577584225,105
2021-11-02,massara,-0.4190212006215006,2
2021-11-09,gazidis,-0.758020150475204,2
2021-11-09,ibrahimovic,-0.0724967319983989,60
2021-11-09,maldini,0.06921754277741107,65
2021-11-09,massara,-0.14929882561167082,3
2021-11-09,moncada,-0.4865972916595638,2
2021-11-16,gazidis,-0.22385224583558738,4
2021-11-16,ibrahimovic,-0.16624141790467548,200
2021-11-16,maldini,-0.0897482335668705,46
2021-11-16,massara,-0.13162901997566223,1
2021-11-23,gazidis,-0.19299012710424987,11
2021-11-23,ibrahimovic,-0.11046242443519398,272
2021-11-23,maldini,0.012604015200516917,71
